Celex	Celex	NNP
Vaira	Vaira	NNP
VIKE	VIKE	NNP
FREIBERGA	FREIBERGA	NNP
President	president	NNP
Indulis	Indulis	NNP
EMSIS	EMSIS	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Artis	Artis	NNP
PABRIKS	PABRIKS	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
LITHUANIA	Lithuania	NNP
,	,	,
Valdas	Valdas	NNP
ADAMKUS	ADAMKUS	NNP
President	president	NNP
Algirdas	Algirdas	NNP
Mykolas	Mykolas	NNP
BRAZAUSKAS	BRAZAUSKAS	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Antanas	Antanas	NNP
VALIONIS	VALIONIS	NNP
Minister	Minister	NNP
of	of	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
HIS	his	NNP
ROYAL	royal	NNP
HIGHNESS	highness	NNP
THE	the	NNP
GRAND	grand	NNP
DUKE	duke	NNP
OF	of	NNP
LUXEMBOURG	Luxembourg	NNP
,	,	,
Jean-Claude	Jean-Claude	NNP
JUNCKER	Juncker	NNP
Prime	Prime	NNP
Minister	Minister	NNP
,	,	NNP
Ministre	Ministre	NNP
d'Etat	d'Etat	NNP
Jean	Jean	NNP
ASSELBORN	ASSELBORN	NNP
Deputy	Deputy	NNP
Prime	Prime	NNP
Minister	Minister	NNP
,	,	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
and	and	CC
Immigration	immigration	NNP
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
HUNGARY	Hungary	NNP
,	,	,
Ferenc	Ferenc	NNP
GYURCSÁNY	GYURCSÁNY	NNP
Prime	Prime	NNP
Minister	Minister	NNP
László	László	NNP
KOVÁCS	KOVÁCS	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
MALTA	Malta	NNP
,	,	,
The	the	DT
Hon	Hon	NNP
Lawrence	Lawrence	NNP
GONZI	GONZI	NNP
Prime	Prime	NNP
Minister	Minister	NNP
The	the	DT
Hon	Hon	NNP
Michael	Michael	NNP
FRENDO	Frendo	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
HER	her	NNP
MAJESTY	majesty	NNP
THE	the	NNP
QUEEN	queen	NNP
OF	of	NNP
THE	the	NNP
NETHERLANDS	Netherlands	NNP
,	,	,
Dr.	Dr.	NNP
J.	J.	NNP
P.	P.	NN
BALKENENDE	BALKENENDE	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Dr.	Dr.	NNP
B.	B.	NNP
R.	R.	NNP
BOT	bot	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
FEDERAL	Federal	NNP
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
AUSTRIA	Austria	NNP
,	,	,
Dr.	Dr.	NNP
Wolfgang	Wolfgang	NNP
SCHÜSSEL	SCHÜSSEL	NNP
Federal	Federal	NNP
Chancellor	Chancellor	NNP
Dr.	Dr.	NNP
Ursula	Ursula	NNP
PLASSNIK	PLASSNIK	NNP
Federal	Federal	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
POLAND	Poland	NNP
,	,	,
Marek	Marek	NNP
BELKA	Belka	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Wlodzimierz	Wlodzimierz	NNP
CIMOSZEWICZ	CIMOSZEWICZ	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
PORTUGUESE	Portuguese	NNP
REPUBLIC	republic	NNP
,	,	,
Pedro	Pedro	NNP
Miguel	Miguel	NNP
DE	de	NNP
SANTANA	Santana	NNP
LOPES	lope	NNP
Prime	Prime	NNP
Minister	Minister	NNP
António	António	NNP
Victor	Victor	NNP
MARTINS	martin	NNP
MONTEIRO	Monteiro	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
and	and	CC
the	the	DT
Portuguese	Portuguese	NNP
Communities	community	NNP
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
SLOVENIA	Slovenia	NNP
,	,	,
Anton	Anton	NNP
ROP	ROP	NNP
President	president	NNP
of	of	IN
the	the	DT
Government	government	NNP
Ivo	Ivo	NNP
VAJGL	VAJGL	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
SLOVAK	Slovak	NNP
REPUBLIC	republic	NNP
,	,	,
Mikulás	Mikulás	NNP
DZURINDA	DZURINDA	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Eduard	Eduard	NNP
KUKAN	KUKAN	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
FINLAND	Finland	NNP
,	,	,
Matti	Matti	NNP
VANHANEN	VANHANEN	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Erkki	Erkki	NNP
TUOMIOJA	TUOMIOJA	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
GOVERNMENT	government	NNP
OF	of	NNP
THE	the	NNP
KINGDOM	kingdom	NNP
OF	of	NNP
SWEDEN	Sweden	NNP
,	,	,
Göran	Göran	NNP
PERSSON	Persson	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Laila	Laila	NNP
FREIVALDS	FREIVALDS	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
HER	her	NNP
MAJESTY	majesty	NNP
THE	the	NNP
QUEEN	queen	NNP
OF	of	NNP
THE	the	NNP
UNITED	UNITED	NNP
KINGDOM	kingdom	NNP
OF	of	NNP
GREAT	GREAT	NNP
BRITAIN	Britain	NNP
AND	and	NNP
NORTHERN	NORTHERN	NNP
IRELAND	Ireland	NNP
,	,	,
The	the	DT
Rt	Rt	NNP
.	.	.
Hon	Hon	NNP
Tony	Tony	NNP
BLAIR	Blair	NNP
Prime	Prime	NNP
Minister	Minister	NNP
The	the	DT
Rt	Rt	NNP
.	.	.
Hon	Hon	NNP
Jack	Jack	NNP
STRAW	straw	NNP
Secretary	Secretary	NNP
of	of	IN
State	State	NNP
for	for	IN
Foreign	Foreign	NNP
and	and	CC
Commonwealth	Commonwealth	NNP
Affairs	Affairs	NNP
WHO	who	NNP
,	,	,
having	have	VBG
exchanged	exchange	VBN
their	their	PRP$
full	full	JJ
powers	power	NNS
,	,	,
found	find	VBD
in	in	IN
good	good	JJ
and	and	CC
due	due	JJ
form	form	NN
,	,	,
have	have	VBP
agreed	agree	VBN
as	as	IN
follows	follow	NNS
:	:	:
Celex	Celex	NNP
Test	Test	NNP
PART	part	RB
I	I	PRP
TITLE	title	RB
I	I	PRP
DEFINITION	definition	NNP
AND	and	NNP
OBJECTIVES	objective	NNP
OF	of	NNP
THE	the	NNP
UNION	union	NNP
Article I-1	Article I-1	CD
Establishment	establishment	NN
of	of	IN
the	the	DT
Union	Union	NNP
1.	@ord@	CD
Reflecting	reflect	VBG
the	the	DT
will	will	NN
of	of	IN
the	the	DT
citizens	citizen	NNS
and	and	CC
States	state	NNP
of	of	IN
Europe	Europe	NNP
to	to	TO
build	build	VB
a	a	DT
common	common	JJ
future	future	NN
,	,	,
this	this	DT
Constitution	Constitution	NNP
establishes	establish	VBZ
the	the	DT
European	European	NNP
Union	Union	NNP
,	,	,
on	on	IN
which	which	WDT
the	the	DT
Member States	Member States	NNP
confer	confer	NN
competences	competence	VBZ
to	to	TO
attain	attain	VB
objectives	objective	NNS
they	they	PRP
have	have	VBP
in	in	IN
common	common	JJ
.	.	.
The	the	DT
Union	Union	NNP
shall	shall	MD
coordinate	coordinate	VB
the	the	DT
policies	policy	NNS
by	by	IN
which	which	WDT
the	the	DT
Member States	Member States	NNP
aim	aim	NN
to	to	TO
achieve	achieve	VB
these	these	DT
objectives	objective	NNS
,	,	,
and	and	CC
shall	shall	MD
exercise	exercise	VB
on	on	IN
a	a	DT
Community	Community	NNP
basis	basis	VBZ
the	the	DT
competences	competence	NNS
they	they	PRP
confer	confer	VBP
on	on	IN
it.2	it.2	CD
.	.	.
The	the	DT
Union	Union	NNP
shall	shall	MD
be	be	VB
open	open	JJ
to	to	TO
all	all	DT
European	European	NNP
States	States	NNPS
which	which	WDT
respect	respect	VBZ
its	its	PRP$
values	value	NNS
and	and	CC
are	be	VBP
committed	commit	VBN
to	to	TO
promoting	promote	VB
them	them	PRP
together	together	RB
.	.	.
Article I-2	Article I-2	CD
The	the	DT
Union's	Union's	JJ
values	value	NNS
The	the	DT
Union	Union	NNP
is	be	VBZ
founded	found	VBN
on	on	IN
the	the	DT
values	value	NNS
of	of	IN
respect	respect	NN
for	for	IN
human	human	JJ
dignity	dignity	NN
,	,	,
freedom	freedom	NN
,	,	,
democracy	democracy	NN
,	,	,
equality	equality	NN
,	,	,
the	the	DT
rule	rule	NN
of	of	IN
law	law	NN
and	and	CC
respect	respect	NN
for	for	IN
human	human	JJ
rights	right	NNS
,	,	,
including	include	IN
the	the	DT
rights	right	NNS
of	of	IN
persons	person	NNS
belonging	belong	VBG
to	to	TO
minorities	minority	NNS
.	.	.
These	these	DT
values	value	NNS
are	be	VBP
common	common	JJ
to	to	TO
the	the	DT
Member States	Member States	NNS
in	in	IN
a	a	DT
society	society	NN
in	in	IN
which	which	WDT
pluralism	pluralism	NN
,	,	,
non-discrimination	non-discrimination	NN
,	,	,
tolerance	tolerance	NN
,	,	,
justice	justice	NN
,	,	,
solidarity	solidarity	NN
and	and	CC
equality	equality	NN
between	between	IN
women	woman	NNS
and	and	CC
men	man	NNS
prevail	prevail	VBP
.	.	.
Article I-3	Article I-3	CD
The	the	DT
Union's	Union's	NNP
objectives	objective	VBZ
1.	@ord@	CD
The	the	DT
Union's	Union's	NNP
aim	aim	NN
is	be	VBZ
to	to	TO
promote	promote	VB
peace	peace	NN
,	,	,
its	its	PRP$
values	value	NNS
and	and	CC
the	the	DT
well-being	well-being	NN
of	of	IN
its	its	PRP$
peoples.2	peoples.2	CD
.	.	.
The	the	DT
Union	Union	NNP
shall	shall	MD
offer	offer	VB
its	its	PRP$
citizens	citizen	NNS
an	an	DT
area	area	NN
of	of	IN
freedom	freedom	NN
,	,	,
security	security	NN
and	and	CC
justice	justice	NN
without	without	IN
internal	internal	JJ
frontiers	frontier	NNS
,	,	,
and	and	CC
an	an	DT
internal	internal	JJ
market	market	NN
where	where	NN
competition	competition	NN
is	be	VBZ
free	free	JJ
and	and	CC
undistorted	undistorted	JJ
.	.	.
3.	@ord@	CD
The	the	DT
Union	Union	NNP
shall	shall	MD
work	work	VB
for	for	IN
the	the	DT
sustainable	sustainable	JJ
development	development	NN
of	of	IN
Europe	Europe	NNP
based	base	VBN
on	on	IN
balanced	balanced	JJ
economic	economic	JJ
growth	growth	NN
and	and	CC
price	price	NN
stability	stability	NN
,	,	,
a	a	DT
highly	highly	RB
competitive	competitive	JJ
social	social	JJ
market	market	NN
economy	economy	NN
,	,	,
aiming	aim	NN
at	at	IN
full	full	JJ
employment	employment	NN
and	and	CC
social	social	JJ
progress	progress	NN
,	,	,
and	and	CC
a	a	DT
high	high	JJ
level	level	NN
of	of	IN
protection	protection	NN
and	and	CC
improvement	improvement	NN
of	of	IN
the	the	DT
quality	quality	NN
of	of	IN
the	the	DT
environment	environment	NN
.	.	.
It	it	PRP
shall	shall	MD
promote	promote	VB
scientific	scientific	NN
and	and	CC
technological	technological	NN
advance	advance	NN
.	.	.
It	it	PRP
shall	shall	MD
combat	combat	VB
social	social	JJ
exclusion	exclusion	NN
and	and	CC
discrimination	discrimination	NN
,	,	,
and	and	CC
shall	shall	MD
promote	promote	VB
social	social	JJ
justice	justice	NN
and	and	CC
protection	protection	NN
,	,	,
equality	equality	NN
between	between	IN
women	woman	NNS
and	and	CC
men	man	NNS
,	,	VBP
solidarity	solidarity	RB
between	between	IN
generations	generation	NNS
and	and	CC
protection	protection	NN
of	of	IN
the	the	DT
rights	right	NNS
of	of	IN
the	the	DT
child	child	NN
.	.	.
It	it	PRP
shall	shall	MD
promote	promote	VB
economic	economic	JJ
,	,	,
social	social	JJ
and	and	CC
territorial	territorial	JJ
cohesion	cohesion	NN
,	,	,
and	and	CC
solidarity	solidarity	NN
among	amongst	IN
Member States	Member States	NNS
.	.	.
It	it	PRP
shall	shall	MD
respect	respect	VB
its	its	PRP$
rich	rich	JJ
cultural	cultural	JJ
and	and	CC
linguistic	linguistic	JJ
diversity	diversity	NN
,	,	,
and	and	CC
shall	shall	MD
ensure	ensure	VB
that	that	IN
Europe's	Europe's	JJ
cultural	cultural	JJ
heritage	heritage	NN
is	be	VBZ
safeguarded	safeguard	VBN
and	and	CC
enhanced	enhance	VBN
.	.	.
4.	@ord@	CD
In	in	IN
its	its	PRP$
relations	relation	NNS
with	with	IN
the	the	DT
wider	wide	JJ
world	world	NN
,	,	,
the	the	DT
Union	Union	NNP
shall	shall	MD
uphold	uphold	VB
and	and	CC
promote	promote	VB
its	its	PRP$
values	value	NNS
and	and	CC
interests	interest	NNS
.	.	.
It	it	PRP
shall	shall	MD
contribute	contribute	VB
to	to	TO
peace	peace	NN
,	,	,
security	security	NN
,	,	,
the	the	DT
sustainable	sustainable	JJ
development	development	NN
of	of	IN
the	the	DT
Earth	Earth	NNP
,	,	,
solidarity	solidarity	NN
and	and	CC
mutual	mutual	JJ
respect	respect	NN
among	amongst	IN
peoples	people	NNS
,	,	,
free	free	JJ
and	and	CC
fair	fair	JJ
trade	trade	NN
,	,	,
eradication	eradication	NN
of	of	IN
poverty	poverty	NN
and	and	CC
the	the	DT
protection	protection	NN
of	of	IN
human	human	NN
rights	right	NNS
,	,	,
in	in	IN
particular	particular	JJ
the	the	DT
rights	right	NNS
of	of	IN
the	the	DT
child	child	NN
,	,	,
as	as	RB
well	well	RB
as	as	IN
to	to	TO
the	the	DT
strict	strict	JJ
observance	observance	NN
and	and	CC
the	the	DT
development	development	NN
of	of	IN
international	international	JJ
law	law	NN
,	,	,
including	include	IN
respect	respect	NN
for	for	IN
the	the	DT
principles	principle	NNS
of	of	IN
the	the	DT
United Nations	United Nations	NNP
Charter.5	Charter.5	NNP
.	.	.
The	the	DT
Union	Union	NNP
shall	shall	MD
pursue	pursue	VB
its	its	PRP$
objectives	objective	NNS
by	by	IN
appropriate	appropriate	JJ
means	mean	NNS
commensurate	commensurate	NN
with	with	IN
the	the	DT
competences	competence	NNS
which	which	WDT
are	be	VBP
conferred	confer	VBN
upon	upon	IN
it	it	PRP
in	in	IN
the	the	DT
Constitution	Constitution	NNP
.	.	.
Article I-4	Article I-4	CD
Fundamental	fundamental	JJ
freedoms	freedom	NNS
and	and	CC
non-discrimination	non-discrimination	NN
1.	@ord@	CD
The	the	DT
free	free	JJ
movement	movement	NN
of	of	IN
persons	person	NNS
,	,	,
services	service	NNS
,	,	,
goods	good	NNS
and	and	CC
capital	capital	NN
,	,	,
and	and	CC
freedom	freedom	NN
of	of	IN
establishment	establishment	NN
shall	shall	MD
be	be	VB
guaranteed	guarantee	VBN
within	within	NN
and	and	CC
by	by	IN
the	the	DT
Union	Union	NNP
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
Constitution.2	Constitution.2	NNP
.	.	.
Within	within	IN
the	the	DT
scope	scope	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
and	and	CC
without	without	IN
prejudice	prejudice	NN
to	to	TO
any	any	DT
of	of	IN
its	its	PRP$
specific	specific	JJ
provisions	provision	NNS
,	,	,
any	any	DT
discrimination	discrimination	NN
on	on	IN
grounds	ground	NNS
of	of	IN
nationality	nationality	NN
shall	shall	MD
be	be	VB
prohibited	prohibit	VBN
.	.	.
Article I-5	Article I-5	CD
Relations	relation	NNS
between	between	IN
the	the	DT
Union	Union	NNP
and	and	CC
the	the	DT
Member States	Member States	NNP
1.	@ord@	CD
The	the	DT
union	union	NN
shall	shall	MD
respect	respect	VB
the	the	DT
equality	equality	NN
of	of	IN
Member	Member	NNP
States	States	NNPS
before	before	IN
the	the	DT
constitution	constitution	NN
as	as	RB
well	well	RB
as	as	IN
their	their	PRP$
national	national	JJ
identities	identity	NNS
,	,	,
inherent	inherent	JJ
in	in	IN
their	their	PRP$
fundamental	fundamental	JJ
structures	structure	NNS
,	,	,
political	political	JJ
and	and	CC
constitutional	constitutional	JJ
,	,	,
inclusive	inclusive	JJ
of	of	IN
regional	regional	JJ
and	and	CC
local	local	JJ
self-government.	self-government.	NN
it	it	PRP
shall	shall	MD
respect	respect	VB
their	their	PRP$
essential	essential	JJ
State	state	NN
functions	function	NNS
,	,	,
including	include	IN
ensuring	ensure	VBG
the	the	DT
territorial	territorial	JJ
integrity	integrity	NN
of	of	IN
the	the	DT
State	state	NN
,	,	,
maintaining	maintain	NN
law	law	NN
and	and	CC
order	order	NN
and	and	CC
safeguarding	safeguard	JJ
national	national	JJ
security	security	NN
.	.	.
2.	@ord@	CD
Pursuant	pursuant	NN
to	to	TO
the	the	DT
principle	principle	NN
of	of	IN
sincere	sincere	JJ
cooperation	cooperation	NN
,	,	,
the	the	DT
Union	Union	NNP
and	and	CC
the	the	DT
Member States	Member States	NNP
shall	shall	NN
,	,	,
in	in	IN
full	full	JJ
mutual	mutual	JJ
respect	respect	NN
,	,	,
assist	assist	RB
each	each	DT
other	other	JJ
in	in	IN
carrying	carry	VBG
out	out	IN
tasks	task	NNS
which	which	WDT
flow	flow	VBP
from	from	IN
the	the	DT
Constitution	Constitution	NNP
.	.	.
The	the	DT
Member States	Member States	NNP
shall	shall	MD
take	take	VB
any	any	DT
appropriate	appropriate	JJ
measure	measure	NN
,	,	,
general	general	NN
or	or	CC
particular	particular	RB
,	,	,
to	to	TO
ensure	ensure	VB
fulfilment	fulfilment	NN
of	of	IN
the	the	DT
obligations	obligation	NNS
arising	arise	VBD
out	out	IN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
or	or	CC
resulting	result	NN
from	from	IN
the	the	DT
acts	act	NNS
of	of	IN
the	the	DT
institutions	institution	NNS
of	of	IN
the	the	DT
Union	Union	NNP
.	.	.
The	the	DT
Member States	Member States	NNP
shall	shall	MD
facilitate	facilitate	VB
the	the	DT
achievement	achievement	NN
of	of	IN
the	the	DT
Union's	Union's	JJ
tasks	task	NNS
and	and	CC
refrain	refrain	NN
from	from	IN
any	any	DT
measure	measure	NN
which	which	WDT
could	could	MD
jeopardise	jeopardize	VB
the	the	DT
attainment	attainment	NN
of	of	IN
the	the	DT
Union's	Union's	NNP
objectives	objective	NNS
.	.	.
Article I-6	Article I-6	CD
Union	union	NNP
law	law	NN
The	the	DT
Constitution	Constitution	NNP
and	and	CC
law	law	NN
adopted	adopt	VBN
by	by	IN
the	the	DT
institutions	institution	NNS
of	of	IN
the	the	DT
Union	Union	NNP
in	in	IN
exercising	exercise	JJ
competences	competence	NNS
conferred	confer	VBD
on	on	IN
it	it	PRP
shall	shall	MD
have	have	VB
primacy	primacy	NN
over	over	IN
the	the	DT
law	law	NN
of	of	IN
the	the	DT
Member States	Member States	NNP
.	.	.
Article I-7	Article I-7	CD
Legal	legal	JJ
personality	personality	NN
The	the	DT
Union	Union	NNP
shall	shall	MD
have	have	VB
legal	legal	JJ
personality	personality	NN
.	.	.
Article	Article	NNP
I-8	I-8	NNP
The	the	DT
symbols	symbol	NNS
of	of	IN
the	the	DT
Union	Union	NNP
The	the	DT
flag	flagstone	NN
of	of	IN
the	the	DT
Union	Union	NNP
shall	shall	MD
be	be	VB
a	a	DT
circle	circle	NN
of	of	IN
twelve	twelve	JJ
golden	golden	JJ
stars	star	NNS
on	on	IN
a	a	DT
blue	blue	JJ
background	background	NN
.	.	.
The	the	DT
anthem	anthem	NN
of	of	IN
the	the	DT
Union	Union	NNP
shall	shall	MD
be	be	VB
based	base	VBN
on	on	IN
the	the	DT
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	NN
Ode	Ode	NNP
to	to	NNP
Joy	Joy	NNP
&amp; amp; amp	&amp; amp; amp	NNP
;	;	NNP
#x2019	#x2019	CD
;	;	NN
from	from	IN
the	the	DT
Ninth	ninth	NNP
Symphony	Symphony	NNP
by	by	IN
Ludwig van	Ludwig van	NNP
Beethoven	Beethoven	NNP
.	.	.
The	the	DT
motto	motto	NN
of	of	IN
the	the	DT
Union	Union	NNP
shall	shall	MD
be	be	VB
:	:	JJ
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	JJ
United	United	NNP
in	in	IN
diversity	diversity	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	:
#x2019	#x2019	CD
;	;	NN
.	.	.
The	the	DT
currency	currency	NN
of	of	IN
the	the	DT
Union	Union	NNP
shall	shall	MD
be	be	VB
the	the	DT
euro	euro	NN
.	.	.
Europe	Europe	NNP
day	day	NN
shall	shall	MD
be	be	VB
celebrated	celebrated	VBN
on	on	IN
9	9	CD
May	May	NNP
throughout	throughout	IN
the	the	DT
Union	Union	NNP
.	.	.
TITLE	title	NNP
II	II	NNP
FUNDAMENTAL	fundamental	NNP
RIGHTS	right	NNP
AND	and	NNP
CITIZENSHIP	citizenship	NNP
OF	of	NNP
THE	the	NNP
UNION	union	NNP
Article I-9	Article I-9	CD
Fundamental	fundamental	JJ
rights	right	NNS
1.	@ord@	CD
The	the	DT
Union	Union	NNP
shall	shall	MD
recognise	recognize	VB
the	the	DT
rights	right	NNS
,	,	,
freedoms	freedom	NNS
and	and	CC
principles	principle	NNS
set	set	VBD
out	out	IN
in	in	IN
the	the	DT
Charter	Charter	NNP
of	of	IN
Fundamental	Fundamental	NNP
Rights	Rights	NNPS
which	which	NN
constitutes	constitute	VBZ
Part II.2	Part II.2	NNP
.	.	.
The	the	DT
Union	Union	NNP
shall	shall	MD
accede	accede	VB
to	to	TO
the	the	DT
European	European	JJ
Convention	convention	NN
for	for	IN
the	the	DT
Protection	Protection	NNP
of	of	IN
Human Rights	Human Rights	NNP
and	and	CC
Fundamental	fundamental	NNP
Freedoms	freedom	NNP
.	.	.
Such	such	JJ
accession	accession	NN
shall	shall	MD
not	not	RB
affect	affect	VB
the	the	DT
Union's	Union's	NNP
competences	competence	NNS
as	as	IN
defined	define	VBN
in	in	IN
the	the	DT
Constitution.3	Constitution.3	NNP
.	.	.
Fundamental	fundamental	JJ
rights	right	NNS
,	,	,
as	as	RB
guaranteed	guarantee	VBN
by	by	IN
the	the	DT
European	European	JJ
Convention	convention	NN
for	for	IN
the	the	DT
Protection	Protection	NNP
of	of	IN
Human Rights	Human Rights	NNP
and	and	CC
Fundamental	fundamental	NNP
Freedoms	freedom	NNP
and	and	CC
as	as	IN
they	they	JJ
result	result	NN
from	from	IN
the	the	DT
constitutional	constitutional	JJ
traditions	tradition	NNS
common	common	JJ
to	to	TO
the	the	DT
Member States	Member States	NNP
,	,	,
shall	shall	MD
constitute	constitute	VB
general	general	JJ
principles	principle	NNS
of	of	IN
the	the	DT
Union's law	Union's law	NNP
.	.	.
Article I-10	Article I-10	CD
Citizenship	citizenship	NN
of	of	IN
the	the	DT
Union	Union	NNP
1.	@ord@	CD
Every	every	DT
national	national	NN
of	of	IN
a	a	DT
Member State	Member State	NN
shall	shall	MD
be	be	VB
a	a	DT
citizen	citizen	NN
of	of	IN
the	the	DT
Union	Union	NNP
.	.	.
Citizenship	citizenship	NN
of	of	IN
the	the	DT
Union	Union	NNP
shall	shall	MD
be	be	VB
additional	additional	JJ
to	to	TO
national	national	JJ
citizenship	citizenship	NN
and	and	CC
shall	shall	MD
not	not	RB
replace	replace	VB
it	it	PRP
.	.	.
2.	@ord@	CD
Citizens	citizen	NNS
of	of	IN
the	the	DT
Union	Union	NNP
shall	shall	MD
enjoy	enjoy	VB
the	the	DT
rights	right	NNS
and	and	CC
be	be	VB
subject	subject	JJ
to	to	TO
the	the	DT
duties	duty	NNS
provided	provided	VBD
for	for	NN
in	in	IN
the	the	DT
Constitution	Constitution	NNP
.	.	.
They	they	PRP
shall	shall	MD
have	have	VB
:	:	VBN
(	(	(
a	a	NN
)	)	)
the	the	DT
right	right	NN
to	to	TO
move	move	VB
and	and	CC
reside	reside	VB
freely	freely	RB
within	within	IN
the	the	DT
territory	territory	NN
of	of	IN
the	the	DT
Member States	Member States	NNP
;	;	NN
(	(	(
b	b	NN
)	)	)
the	the	DT
right	right	NN
to	to	TO
vote	vote	VB
and	and	VBN
to	to	TO
stand	stand	VB
as	as	IN
candidates	candidate	NNS
in	in	IN
elections	election	NNS
to	to	TO
the	the	DT
European Parliament	European Parliament	NNP
and	and	CC
in	in	IN
municipal	municipal	JJ
elections	election	NNS
in	in	IN
their	their	PRP$
Member State	Member State	NN
of	of	IN
residence	residence	NN
,	,	,
under	under	IN
the	the	DT
same	same	JJ
conditions	condition	NNS
as	as	IN
nationals	national	NNS
of	of	IN
that	that	DT
State	state	NNP
;	;	NNP
(	(	(
c	c	NN
)	)	)
the	the	DT
right	right	NN
to	to	TO
enjoy	enjoy	VB
,	,	NN
in	in	IN
the	the	DT
territory	territory	NN
of	of	IN
a	a	DT
third	third	JJ
country	country	NN
in	in	IN
which	which	WDT
the	the	DT
Member State	Member State	NN
of	of	IN
which	which	WDT
they	they	PRP
are	be	VBP
nationals	national	NNS
is	be	VBZ
not	not	RB
represented	represent	VBN
,	,	,
the	the	DT
protection	protection	NN
of	of	IN
the	the	DT
diplomatic	diplomatic	JJ
and	and	CC
consular	consular	JJ
authorities	authority	NNS
of	of	IN
any	any	DT
Member State	Member State	NN
on	on	IN
the	the	DT
same	same	JJ
conditions	condition	NNS
as	as	IN
the	the	DT
nationals	national	NNS
of	of	IN
that	that	DT
State	state	NNP
;	;	NNP
(	(	(
d	d	NN
)	)	)
the	the	DT
right	right	NN
to	to	TO
petition	petition	VB
the	the	DT
European Parliament	European Parliament	NNP
,	,	NN
to	to	TO
apply	apply	VB
to	to	TO
the	the	DT
European	European	NNP
Ombudsman	ombudsman	NNP
,	,	,
and	and	CC
to	to	TO
address	address	VB
the	the	DT
institutions	institution	NNS
and	and	CC
advisory	advisory	JJ
bodies	body	NNS
of	of	IN
the	the	DT
Union	Union	NNP
in	in	IN
any	any	DT
of	of	IN
the	the	DT
Constitution's	Constitution's	NNP
languages	language	NNS
and	and	CC
to	to	TO
obtain	obtain	VB
a	a	DT
reply	reply	NN
in	in	IN
the	the	DT
same	same	JJ
language	language	NN
.	.	.
These	these	DT
rights	right	NNS
shall	shall	MD
be	be	VB
exercised	exercise	VBN
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
conditions	condition	NNS
and	and	CC
limits	limit	NNS
defined	define	VBN
by	by	IN
the	the	DT
Constitution	Constitution	NNP
and	and	CC
by	by	IN
the	the	DT
measures	measure	NNS
adopted	adopt	VBN
